37004
2048 2047
1730 2011 87
330 1388 87
1644 1976 87
1976 2044 21
644 974 88
654 488 88
464 1815 89
1682 1715 89
90 891 89
891 505 12
331 1405 90
1583 1850 91
210 1754 93
1583 1005 93
692 1007 94
143 1211 94
437 1459 95
711 1750 95
1953 1967 95
918 1974 96
1820 1916 96
1714 1703 96
1382 1022 97
1022 955 75
1022 2023 86
909 439 97
788 1013 98
1884 2037 99
